,BS,Throughput,Latency
0,0.0,5546.561484877887,0.029748160270079947
1,0.0,5467.372672447616,0.11943579468996889
2,0.0,5762.8273704811145,0.07912782575021511
3,0.0,5561.543082177738,0.12244803104776818
4,0.0,5140.679686925852,0.07819977599895893
5,0.0,5580.74189245904,0.13510748472686762
6,0.0,5427.510540755138,0.12915681963880052
7,0.0,6725.7847419938425,0.09857585775239296
8,0.0,5847.3949408665985,0.15682197102699863
9,0.0,5083.556536103388,0.047407754450731386
10,0.0,5173.385095059647,0.1739673315368423
11,0.0,5536.7696606938935,0.05436382917223927
12,0.0,5960.756915728248,0.030533035078107087
13,0.0,5797.739236152058,0.10038395593422234
14,0.0,5442.45816771838,0.04703756870717885
15,0.0,5711.654017234389,0.1108260405987444
16,0.0,5489.733740919954,0.06539479270625606
17,0.0,5811.828530196094,0.06297501691565752
18,0.0,5393.1023071291875,0.08863173230890276
19,0.0,5141.0826565718,0.10484173004123969
