Process ID,Process Name,User ID,Computing Node ID,UL Latency,Backhaul Latency,Processing Latency
32,SIMPLE_RAN_APP_1,1,11,2166.6120805501087,0,1.7053025658242404e-13
42,SIMPLE_RAN_APP_6,6,11,2242.9141223942756,0,1.7053025658242404e-13
52,SIMPLE_RAN_APP_11,11,11,1111.259777623107,0,1.7053025658242404e-13
62,SIMPLE_RAN_APP_16,16,11,2763.3539937106625,0,1.7053025658242404e-13
34,SIMPLE_RAN_APP_2,2,12,2371.5312071052304,0,1.7053025658242404e-13
44,SIMPLE_RAN_APP_7,7,12,975.0218979632399,0,1.7053025658242404e-13
54,SIMPLE_RAN_APP_12,12,12,1362.47705678345,0,1.7053025658242404e-13
84,SIMPLE_RAN_APP_27,27,12,1050.9407972739073,0,1.7053025658242404e-13
40,SIMPLE_RAN_APP_5,5,10,544.8759007307565,0,1.7053025658242404e-13
50,SIMPLE_RAN_APP_10,10,10,2107.8431507018386,0,1.7053025658242404e-13
60,SIMPLE_RAN_APP_15,15,10,474.5955762161554,0,1.7053025658242404e-13
70,SIMPLE_RAN_APP_20,20,10,3142.039906635977,0,1.7053025658242404e-13
80,SIMPLE_RAN_APP_25,25,10,2149.8548975360454,0,1.7053025658242404e-13
36,SIMPLE_RAN_APP_3,3,13,1500.9376355655534,0,1.7053025658242404e-13
46,SIMPLE_RAN_APP_8,8,13,1942.3448591931353,0,1.7053025658242404e-13
56,SIMPLE_RAN_APP_13,13,13,2311.933234682206,0,1.7053025658242404e-13
66,SIMPLE_RAN_APP_18,18,13,3410.1720997102066,0,1.7053025658242404e-13
76,SIMPLE_RAN_APP_23,23,13,1202.0473769863002,0,1.7053025658242404e-13
48,SIMPLE_RAN_APP_9,9,14,777.1099508179574,0,1.7053025658242404e-13
58,SIMPLE_RAN_APP_14,14,14,4380.206181544956,0,1.7053025658242404e-13
68,SIMPLE_RAN_APP_19,19,14,2497.8916049183526,0,1.7053025658242404e-13
88,SIMPLE_RAN_APP_29,29,14,829.5421172502172,0,1.7053025658242404e-13
32,SIMPLE_RAN_APP_1,1,11,2166.6120805501087,0,8.810729923425242e-13
42,SIMPLE_RAN_APP_6,6,11,2242.9141223942756,0,8.810729923425242e-13
52,SIMPLE_RAN_APP_11,11,11,1111.259777623107,0,8.810729923425242e-13
62,SIMPLE_RAN_APP_16,16,11,2763.3539937106625,0,8.810729923425242e-13
