Process ID,Process Name,User ID,Computing Node ID,UL Latency,Backhaul Latency,Processing Latency
45,SIMPLE_RAN_APP_7,7,36,975.0218979632399,0,12.199999999996493
53,SIMPLE_RAN_APP_11,11,48,1111.259777623107,0,12.199999999996493
81,SIMPLE_RAN_APP_25,25,90,2149.8548975360454,0,12.199999999996493
85,SIMPLE_RAN_APP_27,27,96,1050.9407972739073,0,12.199999999996493
54,SIMPLE_RAN_APP_12,12,12,1362.47705678345,0,12.199999999996493
40,SIMPLE_RAN_APP_5,5,10,544.8759007307565,0,12.199999999996493
48,SIMPLE_RAN_APP_9,9,14,777.1099508179574,0,12.999999999996447
46,SIMPLE_RAN_APP_8,8,13,1942.3448591931353,0,13.99999999999639
88,SIMPLE_RAN_APP_29,29,14,829.5421172502172,0,13.99999999999639
62,SIMPLE_RAN_APP_16,16,11,2763.3539937106625,0,14.999999999996334
50,SIMPLE_RAN_APP_10,10,10,2107.8431507018386,0,14.999999999996334
58,SIMPLE_RAN_APP_14,14,14,4380.206181544956,0,15.799999999996288
70,SIMPLE_RAN_APP_20,20,10,3142.039906635977,0,15.999999999996277
41,SIMPLE_RAN_APP_5,5,30,544.8759007307565,0,16.199999999996265
47,SIMPLE_RAN_APP_8,8,39,1942.3448591931353,0,16.199999999996265
49,SIMPLE_RAN_APP_9,9,42,777.1099508179574,0,16.199999999996265
51,SIMPLE_RAN_APP_10,10,45,2107.8431507018386,0,16.199999999996265
55,SIMPLE_RAN_APP_12,12,51,1362.47705678345,0,16.199999999996265
61,SIMPLE_RAN_APP_15,15,60,474.5955762161554,0,16.199999999996265
63,SIMPLE_RAN_APP_16,16,63,2763.3539937106625,0,16.199999999996265
89,SIMPLE_RAN_APP_29,29,102,829.5421172502172,0,16.199999999996265
66,SIMPLE_RAN_APP_18,18,13,3410.1720997102066,0,16.79999999999623
42,SIMPLE_RAN_APP_6,6,11,2242.9141223942756,0,16.99999999999622
34,SIMPLE_RAN_APP_2,2,12,2371.5312071052304,0,17.999999999996163
68,SIMPLE_RAN_APP_19,19,14,2497.8916049183526,0,17.999999999996163
35,SIMPLE_RAN_APP_2,2,21,2371.5312071052304,0,20.199999999996038
43,SIMPLE_RAN_APP_6,6,33,2242.9141223942756,0,20.199999999996038
67,SIMPLE_RAN_APP_18,18,69,3410.1720997102066,0,20.199999999996038
69,SIMPLE_RAN_APP_19,19,72,2497.8916049183526,0,20.199999999996038
71,SIMPLE_RAN_APP_20,20,75,3142.039906635977,0,20.199999999996038
56,SIMPLE_RAN_APP_13,13,13,2311.933234682206,0,20.599999999996015
57,SIMPLE_RAN_APP_13,13,54,2311.933234682206,0,24.19999999999581
59,SIMPLE_RAN_APP_14,14,57,4380.206181544956,0,24.19999999999581
76,SIMPLE_RAN_APP_23,23,13,1202.0473769863002,0,7.799999999993929
80,SIMPLE_RAN_APP_25,25,10,2149.8548975360454,0,9.799999999993815
77,SIMPLE_RAN_APP_23,23,84,1202.0473769863002,0,10.199999999993793
81,SIMPLE_RAN_APP_25,25,90,2149.8548975360454,0,10.199999999993793
32,SIMPLE_RAN_APP_1,1,11,2166.6120805501087,0,10.199999999993793
60,SIMPLE_RAN_APP_15,15,10,474.5955762161554,0,10.59999999999377
52,SIMPLE_RAN_APP_11,11,11,1111.259777623107,0,10.799999999993759
84,SIMPLE_RAN_APP_27,27,12,1050.9407972739073,0,11.199999999993736
44,SIMPLE_RAN_APP_7,7,12,975.0218979632399,0,11.399999999993724
36,SIMPLE_RAN_APP_3,3,13,1500.9376355655534,0,11.799999999993702
54,SIMPLE_RAN_APP_12,12,12,1362.47705678345,0,12.199999999993679
40,SIMPLE_RAN_APP_5,5,10,544.8759007307565,0,12.199999999993679
48,SIMPLE_RAN_APP_9,9,14,777.1099508179574,0,12.999999999993634
46,SIMPLE_RAN_APP_8,8,13,1942.3448591931353,0,13.999999999993577
88,SIMPLE_RAN_APP_29,29,14,829.5421172502172,0,13.999999999993577
33,SIMPLE_RAN_APP_1,1,18,2166.6120805501087,0,14.199999999993565
37,SIMPLE_RAN_APP_3,3,24,1500.9376355655534,0,14.199999999993565
41,SIMPLE_RAN_APP_5,5,30,544.8759007307565,0,14.199999999993565
45,SIMPLE_RAN_APP_7,7,36,975.0218979632399,0,14.199999999993565
49,SIMPLE_RAN_APP_9,9,42,777.1099508179574,0,14.199999999993565
53,SIMPLE_RAN_APP_11,11,48,1111.259777623107,0,14.199999999993565
55,SIMPLE_RAN_APP_12,12,51,1362.47705678345,0,14.199999999993565
61,SIMPLE_RAN_APP_15,15,60,474.5955762161554,0,14.199999999993565
85,SIMPLE_RAN_APP_27,27,96,1050.9407972739073,0,14.199999999993565
62,SIMPLE_RAN_APP_16,16,11,2763.3539937106625,0,14.99999999999352
50,SIMPLE_RAN_APP_10,10,10,2107.8431507018386,0,14.99999999999352
58,SIMPLE_RAN_APP_14,14,14,4380.206181544956,0,15.799999999993474
70,SIMPLE_RAN_APP_20,20,10,3142.039906635977,0,15.999999999993463
66,SIMPLE_RAN_APP_18,18,13,3410.1720997102066,0,16.799999999993418
42,SIMPLE_RAN_APP_6,6,11,2242.9141223942756,0,16.999999999993406
34,SIMPLE_RAN_APP_2,2,12,2371.5312071052304,0,17.99999999999335
68,SIMPLE_RAN_APP_19,19,14,2497.8916049183526,0,17.99999999999335
43,SIMPLE_RAN_APP_6,6,33,2242.9141223942756,0,18.199999999993338
47,SIMPLE_RAN_APP_8,8,39,1942.3448591931353,0,18.199999999993338
51,SIMPLE_RAN_APP_10,10,45,2107.8431507018386,0,18.199999999993338
59,SIMPLE_RAN_APP_14,14,57,4380.206181544956,0,18.199999999993338
63,SIMPLE_RAN_APP_16,16,63,2763.3539937106625,0,18.199999999993338
67,SIMPLE_RAN_APP_18,18,69,3410.1720997102066,0,18.199999999993338
71,SIMPLE_RAN_APP_20,20,75,3142.039906635977,0,18.199999999993338
89,SIMPLE_RAN_APP_29,29,102,829.5421172502172,0,18.199999999993338
56,SIMPLE_RAN_APP_13,13,13,2311.933234682206,0,20.5999999999932
35,SIMPLE_RAN_APP_2,2,21,2371.5312071052304,0,22.19999999999311
57,SIMPLE_RAN_APP_13,13,54,2311.933234682206,0,22.19999999999311
69,SIMPLE_RAN_APP_19,19,72,2497.8916049183526,0,22.19999999999311
76,SIMPLE_RAN_APP_23,23,13,1202.0473769863002,0,7.799999999991087
77,SIMPLE_RAN_APP_23,23,84,1202.0473769863002,0,8.199999999991064
80,SIMPLE_RAN_APP_25,25,10,2149.8548975360454,0,9.799999999990973
32,SIMPLE_RAN_APP_1,1,11,2166.6120805501087,0,10.19999999999095
60,SIMPLE_RAN_APP_15,15,10,474.5955762161554,0,10.599999999990928
52,SIMPLE_RAN_APP_11,11,11,1111.259777623107,0,10.799999999990916
84,SIMPLE_RAN_APP_27,27,12,1050.9407972739073,0,11.199999999990894
44,SIMPLE_RAN_APP_7,7,12,975.0218979632399,0,11.399999999990882
36,SIMPLE_RAN_APP_3,3,13,1500.9376355655534,0,11.79999999999086
33,SIMPLE_RAN_APP_1,1,18,2166.6120805501087,0,12.199999999990837
37,SIMPLE_RAN_APP_3,3,24,1500.9376355655534,0,12.199999999990837
45,SIMPLE_RAN_APP_7,7,36,975.0218979632399,0,12.199999999990837
53,SIMPLE_RAN_APP_11,11,48,1111.259777623107,0,12.199999999990837
61,SIMPLE_RAN_APP_15,15,60,474.5955762161554,0,12.199999999990837
81,SIMPLE_RAN_APP_25,25,90,2149.8548975360454,0,12.199999999990837
54,SIMPLE_RAN_APP_12,12,12,1362.47705678345,0,12.199999999990837
40,SIMPLE_RAN_APP_5,5,10,544.8759007307565,0,12.199999999990837
48,SIMPLE_RAN_APP_9,9,14,777.1099508179574,0,12.999999999990791
46,SIMPLE_RAN_APP_8,8,13,1942.3448591931353,0.0,13.999999999990735
88,SIMPLE_RAN_APP_29,29,14,829.5421172502172,0,13.999999999990735
62,SIMPLE_RAN_APP_16,16,11,2763.3539937106625,0,14.999999999990678
50,SIMPLE_RAN_APP_10,10,10,2107.8431507018386,0,14.999999999990678
58,SIMPLE_RAN_APP_14,14,14,4380.206181544956,0,15.799999999990632
70,SIMPLE_RAN_APP_20,20,10,3142.039906635977,0,15.99999999999062
