Process ID,Process Name,User ID,Computing Node ID,UL Latency,Backhaul Latency,Processing Latency
76,SIMPLE_RAN_APP_23,23,29,1202.0473769863002,1.0,7.600000000000293
80,SIMPLE_RAN_APP_25,25,26,2149.8548975360454,1.0,9.600000000000321
32,SIMPLE_RAN_APP_1,1,27,2166.6120805501087,1.0,10.000000000000327
60,SIMPLE_RAN_APP_15,15,26,474.5955762161554,1.0,10.400000000000333
52,SIMPLE_RAN_APP_11,11,27,1111.259777623107,1.0,10.600000000000335
84,SIMPLE_RAN_APP_27,27,28,1050.9407972739073,1.0,11.000000000000341
44,SIMPLE_RAN_APP_7,7,28,975.0218979632399,1.0,11.200000000000344
36,SIMPLE_RAN_APP_3,3,29,1500.9376355655534,1.0,11.60000000000035
40,SIMPLE_RAN_APP_5,5,26,544.8759007307565,1.0,12.000000000000355
54,SIMPLE_RAN_APP_12,12,28,1362.47705678345,1.0,12.000000000000355
48,SIMPLE_RAN_APP_9,9,30,777.1099508179574,1.0,12.800000000000367
46,SIMPLE_RAN_APP_8,8,29,1942.3448591931353,1.0,13.80000000000038
88,SIMPLE_RAN_APP_29,29,30,829.5421172502172,1.0,13.80000000000038
50,SIMPLE_RAN_APP_10,10,26,2107.8431507018386,1.0,14.800000000000395
62,SIMPLE_RAN_APP_16,16,27,2763.3539937106625,1.0,14.800000000000395
58,SIMPLE_RAN_APP_14,14,30,4380.206181544956,1.0,15.600000000000406
70,SIMPLE_RAN_APP_20,20,26,3142.039906635977,1.0,15.80000000000041
66,SIMPLE_RAN_APP_18,18,29,3410.1720997102066,1.0,16.60000000000042
42,SIMPLE_RAN_APP_6,6,27,2242.9141223942756,1.0,16.800000000000423
34,SIMPLE_RAN_APP_2,2,28,2371.5312071052304,1.0,17.800000000000438
68,SIMPLE_RAN_APP_19,19,30,2497.8916049183526,1.0,17.800000000000438
56,SIMPLE_RAN_APP_13,13,29,2311.933234682206,1.0,20.400000000000475
76,SIMPLE_RAN_APP_23,23,29,1202.0473769863002,1.0,7.600000000001003
80,SIMPLE_RAN_APP_25,25,26,2149.8548975360454,1.0,9.600000000001032
32,SIMPLE_RAN_APP_1,1,27,2166.6120805501087,1.0,10.000000000001037
60,SIMPLE_RAN_APP_15,15,26,474.5955762161554,1.0,10.400000000001043
52,SIMPLE_RAN_APP_11,11,27,1111.259777623107,1.0,10.600000000001046
84,SIMPLE_RAN_APP_27,27,28,1050.9407972739073,1.0,11.000000000001052
44,SIMPLE_RAN_APP_7,7,28,975.0218979632399,1.0,11.200000000001054
36,SIMPLE_RAN_APP_3,3,29,1500.9376355655534,1.0,11.60000000000106
40,SIMPLE_RAN_APP_5,5,26,544.8759007307565,1.0,12.000000000001066
54,SIMPLE_RAN_APP_12,12,28,1362.47705678345,1.0,12.000000000001066
48,SIMPLE_RAN_APP_9,9,30,777.1099508179574,1.0,12.800000000001077
46,SIMPLE_RAN_APP_8,8,29,1942.3448591931353,1.0,13.800000000001091
88,SIMPLE_RAN_APP_29,29,30,829.5421172502172,1.0,13.800000000001091
50,SIMPLE_RAN_APP_10,10,26,2107.8431507018386,1.0,14.800000000001106
62,SIMPLE_RAN_APP_16,16,27,2763.3539937106625,1.0,14.800000000001106
58,SIMPLE_RAN_APP_14,14,30,4380.206181544956,1.0,15.600000000001117
70,SIMPLE_RAN_APP_20,20,26,3142.039906635977,1.0,15.80000000000112
66,SIMPLE_RAN_APP_18,18,29,3410.1720997102066,1.0,16.60000000000113
42,SIMPLE_RAN_APP_6,6,27,2242.9141223942756,1.0,16.800000000001134
34,SIMPLE_RAN_APP_2,2,28,2371.5312071052304,1.0,17.80000000000115
68,SIMPLE_RAN_APP_19,19,30,2497.8916049183526,1.0,17.80000000000115
56,SIMPLE_RAN_APP_13,13,29,2311.933234682206,1.0,20.400000000001185
