Process ID,Process Name,User ID,Computing Node ID,UL Latency,Backhaul Latency,Processing Latency,Timestamp(ms)
40,SIMPLE_RAN_APP_5,5,26,0.5377763484335424,0,4.440892098500626e-16,3.0000000000000004
50,SIMPLE_RAN_APP_10,10,26,2.201387370207834,0,4.440892098500626e-16,3.0000000000000004
60,SIMPLE_RAN_APP_15,15,26,0.6224149625468027,0,4.440892098500626e-16,3.0000000000000004
70,SIMPLE_RAN_APP_20,20,26,1.9149120034642468,0,4.440892098500626e-16,3.0000000000000004
80,SIMPLE_RAN_APP_25,25,26,3.7531858886729954,0,4.440892098500626e-16,3.0000000000000004
32,SIMPLE_RAN_APP_1,1,27,2.184604837453845,0,4.440892098500626e-16,3.0000000000000004
42,SIMPLE_RAN_APP_6,6,27,1.2242610683882729,0,4.440892098500626e-16,3.0000000000000004
52,SIMPLE_RAN_APP_11,11,27,1.167292840332307,0,4.440892098500626e-16,3.0000000000000004
62,SIMPLE_RAN_APP_16,16,27,3.031197574135561,0,4.440892098500626e-16,3.0000000000000004
72,SIMPLE_RAN_APP_21,21,27,0.8803589852171494,2,4.440892098500626e-16,3.0000000000000004
82,SIMPLE_RAN_APP_26,26,27,0.6372980305142739,2,4.440892098500626e-16,3.0000000000000004
34,SIMPLE_RAN_APP_2,2,28,2.590634417787907,0,4.440892098500626e-16,3.0000000000000004
44,SIMPLE_RAN_APP_7,7,28,0.7783568341854756,0,4.440892098500626e-16,3.0000000000000004
54,SIMPLE_RAN_APP_12,12,28,1.9986558914312533,0,4.440892098500626e-16,3.0000000000000004
84,SIMPLE_RAN_APP_27,27,28,1.3086156985360522,0,4.440892098500626e-16,3.0000000000000004
36,SIMPLE_RAN_APP_3,3,29,1.592133639258553,0,4.440892098500626e-16,3.0000000000000004
46,SIMPLE_RAN_APP_8,8,29,2.1477046728317473,0,4.440892098500626e-16,3.0000000000000004
56,SIMPLE_RAN_APP_13,13,29,1.467189544299044,0,4.440892098500626e-16,3.0000000000000004
76,SIMPLE_RAN_APP_23,23,29,1.1401481726843494,0,4.440892098500626e-16,3.0000000000000004
48,SIMPLE_RAN_APP_9,9,30,0.940912277345052,0,4.440892098500626e-16,3.0000000000000004
68,SIMPLE_RAN_APP_19,19,30,2.411582926057167,0,4.440892098500626e-16,3.0000000000000004
88,SIMPLE_RAN_APP_29,29,30,0.7913143544034794,0,4.440892098500626e-16,3.0000000000000004
30,SIMPLE_RAN_APP_0,0,26,2.9688974776437824,0,8.881784197001252e-16,4.000000000000001
40,SIMPLE_RAN_APP_5,5,26,0.782069054251884,0,8.881784197001252e-16,4.000000000000001
60,SIMPLE_RAN_APP_15,15,26,0.7068016881768597,0,8.881784197001252e-16,4.000000000000001
70,SIMPLE_RAN_APP_20,20,26,1.9149120034642468,1,8.881784197001252e-16,4.000000000000001
80,SIMPLE_RAN_APP_25,25,26,2.0406612261139507,0,8.881784197001252e-16,4.000000000000001
32,SIMPLE_RAN_APP_1,1,27,2.3777520018773233,0,8.881784197001252e-16,4.000000000000001
42,SIMPLE_RAN_APP_6,6,27,2.129807032132617,0,8.881784197001252e-16,4.000000000000001
52,SIMPLE_RAN_APP_11,11,27,1.2541602494826836,0,8.881784197001252e-16,4.000000000000001
62,SIMPLE_RAN_APP_16,16,27,2.9457972719635976,0,8.881784197001252e-16,4.000000000000001
34,SIMPLE_RAN_APP_2,2,28,3.3669655227545183,0,8.881784197001252e-16,4.000000000000001
44,SIMPLE_RAN_APP_7,7,28,0.5509089185147642,0,8.881784197001252e-16,4.000000000000001
54,SIMPLE_RAN_APP_12,12,28,1.9986558914312533,1,8.881784197001252e-16,4.000000000000001
64,SIMPLE_RAN_APP_17,17,28,1.9707724104188178,0,8.881784197001252e-16,4.000000000000001
84,SIMPLE_RAN_APP_27,27,28,1.485203498834354,0,8.881784197001252e-16,4.000000000000001
36,SIMPLE_RAN_APP_3,3,29,0.9490340003550808,0,8.881784197001252e-16,4.000000000000001
56,SIMPLE_RAN_APP_13,13,29,1.643592453240662,0,8.881784197001252e-16,4.000000000000001
76,SIMPLE_RAN_APP_23,23,29,1.7310868836234263,0,8.881784197001252e-16,4.000000000000001
38,SIMPLE_RAN_APP_4,4,30,1.1033146329197674,0,8.881784197001252e-16,4.000000000000001
48,SIMPLE_RAN_APP_9,9,30,1.5896416702850824,0,8.881784197001252e-16,4.000000000000001
58,SIMPLE_RAN_APP_14,14,30,5.03102316381065,0,8.881784197001252e-16,4.000000000000001
88,SIMPLE_RAN_APP_29,29,30,0.9380352529848206,0,8.881784197001252e-16,4.000000000000001
30,SIMPLE_RAN_APP_0,0,26,2.622137593025725,0,1.7763568394002505e-15,5.000000000000002
40,SIMPLE_RAN_APP_5,5,26,0.9082003849098825,0,1.7763568394002505e-15,5.000000000000002
50,SIMPLE_RAN_APP_10,10,26,2.113408252940094,0,1.7763568394002505e-15,5.000000000000002
60,SIMPLE_RAN_APP_15,15,26,0.8583016185953746,0,1.7763568394002505e-15,5.000000000000002
70,SIMPLE_RAN_APP_20,20,26,3.261098644854726,0,1.7763568394002505e-15,5.000000000000002
80,SIMPLE_RAN_APP_25,25,26,2.2395403858124254,0,1.7763568394002505e-15,5.000000000000002
32,SIMPLE_RAN_APP_1,1,27,1.8531002309189952,0,1.7763568394002505e-15,5.000000000000002
42,SIMPLE_RAN_APP_6,6,27,1.3275739137091482,0,1.7763568394002505e-15,5.000000000000002
52,SIMPLE_RAN_APP_11,11,27,1.344378217469022,0,1.7763568394002505e-15,5.000000000000002
