,BS,Throughput[Kbit/s],Latency[ms],Packet data size[bits],Packet cycles per bit[cycles/bit],Packet delay[ms]
43,9.0,3935.337711713184,11646.8715921325,45834373.0,634.0,7.0
44,11.0,8303.104059554911,5893.88313683537,48937525.0,939.0,8.0
45,5.0,4074.4488495419246,10317.232968755043,42037038.0,646.0,6.0
46,2.0,5311.983771753916,8365.726046886477,44438601.0,865.0,6.0
47,3.0,6119.740756478028,8315.17690453375,50886727.0,724.0,7.0
48,9.0,3822.9608101538374,14694.443074277668,56176280.0,752.0,7.0
49,12.0,2849.582635589536,24414.991209969416,69572535.0,532.0,6.0
50,12.0,3482.9727320953743,12035.357788971669,41918823.0,594.0,9.0
51,14.0,5562.1089072325585,11747.775724965313,65342408.0,549.0,5.0
52,4.0,7632.617998988805,8252.366358220042,62987160.0,836.0,7.0
53,10.0,5641.025070930022,8728.900932163724,49239949.0,811.0,7.0
54,5.0,5248.362846574107,13756.063578402702,72196813.0,867.0,5.0
55,8.0,9991.529750126434,6033.46349434001,60283530.0,836.0,7.0
56,12.0,3246.0939899559007,15317.00996762434,49720454.0,775.0,6.0
57,13.0,5396.024134372529,7488.773955363153,40409605.0,949.0,6.0
58,16.0,6415.152605992071,11314.2092570338,72582379.0,782.0,5.0
59,17.0,5887.661123412461,6937.180171186065,40843766.0,860.0,8.0
60,13.0,8543.155411928448,7622.27817008667,65118307.0,953.0,6.0
61,16.0,6097.413781612398,6736.5508510951,41075538.0,746.0,9.0
62,7.0,7233.134100051009,8181.084877105029,59174884.0,865.0,9.0
63,0.0,6256.136886666508,9567.761876753637,59857228.0,545.0,6.0
64,9.0,,,72598551.0,858.0,7.0
65,10.0,5796.945050442161,8133.597022176989,47150015.0,829.0,8.0
66,0.0,6395.736392923174,8325.992775268474,53250855.0,916.0,9.0
67,10.0,5887.1278801300605,8951.672372850808,52699640.0,755.0,7.0
68,10.0,4987.26331285145,10129.191669071331,50516946.0,547.0,8.0
69,10.0,4068.356632405494,16517.254034405494,67198080.0,999.0,5.0
70,16.0,6573.379342887537,8850.883992105459,58180218.0,612.0,7.0
71,8.0,9949.758436472752,5149.969853757095,51240956.0,693.0,8.0
72,14.0,5210.862646060281,10067.783889806467,52461839.0,944.0,7.0
73,2.0,6512.379354869293,7577.765561691617,49349284.0,746.0,6.0
74,14.0,4002.986660394807,17245.959294101463,69035345.0,608.0,8.0
75,2.0,6116.599646393506,8565.795544734154,52393542.0,577.0,8.0
76,1.0,,,50195096.0,651.0,5.0
77,2.0,6109.399351449899,7396.128391783124,45185902.0,727.0,6.0
78,13.0,7185.289414185379,9879.188701830153,70984830.0,518.0,7.0
79,6.0,7862.043756550534,5892.283410582953,46325390.0,743.0,7.0
80,13.0,6369.007736692516,7783.390607991856,49572475.0,553.0,8.0
81,14.0,6670.85628369952,7721.4995810753935,51509014.0,528.0,8.0
82,17.0,6716.611064558677,5912.928353044291,39714840.0,524.0,5.0
83,1.0,5053.8118624493845,13903.3948853698,70265142.0,995.0,6.0
84,12.0,4761.767073403308,9730.855223643457,46336066.0,948.0,7.0
85,9.0,3246.885773246452,14502.790146792688,47088903.0,551.0,8.0
86,3.0,4589.038155108648,11003.410364716066,50495070.0,759.0,6.0
87,12.0,4316.096544751284,10629.919772251951,45879760.0,947.0,9.0
88,8.0,6324.790328939762,6224.633695738589,39369503.0,530.0,9.0
89,12.0,3159.3481845645165,18519.1392597536,58508409.0,796.0,7.0
90,1.0,6430.683001698999,5975.125346693076,38424137.0,577.0,6.0
91,9.0,4024.9954534566455,13668.197551069004,55014433.0,628.0,7.0
92,16.0,6846.462296252318,8006.474384589209,54816025.0,640.0,7.0
93,10.0,4733.411030254526,8700.06740103143,41180995.0,539.0,9.0
94,12.0,3928.694659016793,12168.502301465229,47806330.0,655.0,8.0
95,6.0,9094.652017360959,7151.2407375067905,65038046.0,561.0,8.0
96,5.0,4671.981485105938,11295.893009902058,52774203.0,925.0,7.0
97,13.0,9112.380272784167,5982.669441794844,54516359.0,621.0,9.0
98,3.0,5210.169794218046,11298.46191679342,58866905.0,519.0,9.0
99,1.0,8476.181767290906,4988.870243814429,42286571.0,643.0,5.0
100,5.0,,,57317281.0,631.0,7.0
101,6.0,8136.4153896190355,6221.000105842676,50616641.0,572.0,7.0
102,0.0,6089.254650167077,7955.950897647341,48445811.0,874.0,7.0
103,13.0,4952.0380156120045,9021.314832228507,44673894.0,689.0,8.0
104,11.0,7500.752331949254,9710.118102389406,72833191.0,796.0,9.0
105,15.0,10251.9909969825,5482.643421804006,56208011.0,752.0,8.0
106,9.0,3261.100226800839,19583.201545034943,63862783.0,850.0,9.0
