Edge Server IDs,Available CPU Cores,Available GPU Cores,Available Storage,Process ID,Process Name,User ID,Computing Node ID,Processing Percentage,Latency(ms),Is Scheduled?,Packet Data Sizes(bits),Reporting Time(ms)
10,5,0,970000,34,Sensor_Data_Processing,2,12,86.81040508533006,2431.331207105548,N/A,N/A,2059.8000000003176
11,5,0,970000,42,Sensor_Data_Processing,6,11,92.10028381285554,2302.714122394593,N/A,N/A,2059.8000000003176
12,5,0,970000,56,Sensor_Data_Processing,13,13,75.79777721900308,2371.733234682524,N/A,N/A,2059.8000000003176
13,5,0,970000,58,Sensor_Data_Processing,14,14,98.2251467084738,4440.006181545274,N/A,N/A,2059.8000000003176
14,5,0,970000,66,Sensor_Data_Processing,18,13,93.09811292854741,3469.972099710524,N/A,N/A,2059.8000000003176
,,,,68,Sensor_Data_Processing,19,14,86.26186210210412,2557.6916049186702,N/A,N/A,2059.8000000003176
,,,,70,Sensor_Data_Processing,20,10,96.78563291552643,3201.8399066362945,N/A,N/A,2059.8000000003176
,,,,51,Actuator_Driver,10,45,N/A,2167.643150702156,True,1600,2059.8000000003176
,,,,63,Actuator_Driver,16,63,N/A,2823.15399371098,True,1600,2059.8000000003176
